Chemical	Term	GOID	Bonferroni
C15310017	positive regulation of gene expression	GO:0010628	2.8724343348329736e-08
C15310017	MAPK cascade	GO:0000165	2.8724343348329736e-08
C15310017	transcription from RNA polymerase II promoter	GO:0006366	3.009225180150565e-08
C15310017	circadian rhythm	GO:0007623	1.0881199707934996e-07
C15310017	negative regulation of transcription, DNA-templated	GO:0045892	1.4235392298278524e-07
C15310017	Fc-epsilon receptor signaling pathway	GO:0038095	2.9082895414145327e-07
C15310017	cellular lipid metabolic process	GO:0044255	4.0830910408296006e-07
C15310017	transcription initiation from RNA polymerase II promoter	GO:0006367	6.260452560802321e-07
C15310017	peptidyl-tyrosine phosphorylation	GO:0018108	6.756524931761375e-07
C15310017	cellular response to DNA damage stimulus	GO:0006974	2.000993425288477e-06
C15310017	positive regulation of cell proliferation	GO:0008284	2.5467982767146684e-06
C15310017	response to stress	GO:0006950	1.1292956758834904e-05
C15310017	negative regulation of neuron death	GO:1901215	1.2997785594270896e-05
C15310017	regulation of cell cycle	GO:0051726	1.6411566814311662e-05
C15310017	positive regulation of apoptotic process	GO:0043065	1.9209060573288642e-05
C15310017	thymus development	GO:0048538	2.210615630926505e-05
C15310017	negative regulation of gene expression	GO:0010629	4.2970175424761337e-05
C15310017	cell cycle arrest	GO:0007050	5.661703649784133e-05
C15310017	regulation of cellular response to heat	GO:1900034	5.9976088884305945e-05
C15310017	negative regulation of cell proliferation	GO:0008285	8.901377122150222e-05
C15310017	T cell receptor signaling pathway	GO:0050852	8.988705717583033e-05
C15310017	rhythmic process	GO:0048511	0.00011451147014895913
C15310017	cellular response to hydrogen peroxide	GO:0070301	0.00016821042956005616
C15310017	face development	GO:0060324	0.00017199412050517005
C15310017	regulation of early endosome to late endosome transport	GO:2000641	0.00023340191957588183
C15310017	regulation of signal transduction by p53 class mediator	GO:1901796	0.0002359388303421195
C15310017	intracellular receptor signaling pathway	GO:0030522	0.00031289125966993403
C15310017	peptidyl-threonine phosphorylation	GO:0018107	0.00031289125966993403
C15310017	regulation of transcription from RNA polymerase II promoter	GO:0006357	0.0003607444272410998
C15310017	stress-activated MAPK cascade	GO:0051403	0.00040209432954874114
C15310017	cellular response to hypoxia	GO:0071456	0.00042069706004110863
C15310017	androgen receptor signaling pathway	GO:0030521	0.0005015066000847447
C15310017	intracellular signal transduction	GO:0035556	0.0007424015785988393
C15310017	positive regulation of erythrocyte differentiation	GO:0045648	0.0008266568212612624
C15310017	response to cAMP	GO:0051591	0.0010170844767798393
C15310017	regulation of sequence-specific DNA binding transcription factor activity	GO:0051090	0.0010278418308521386
C15310017	cellular response to insulin stimulus	GO:0032869	0.001373313592071268
C15310017	regulation of circadian rhythm	GO:0042752	0.0014940569770665044
C15310017	regulation of Golgi inheritance	GO:0090170	0.0021232980042970033
C15310017	positive regulation of I-kappaB kinase/NF-kappaB signaling	GO:0043123	0.0021677443005240216
C15310017	aging	GO:0007568	0.002659722365600969
C15310017	circadian regulation of gene expression	GO:0032922	0.0037117521448029045
C15310017	protein autophosphorylation	GO:0046777	0.0037539980051473076
C15310017	positive regulation of ERK1 and ERK2 cascade	GO:0070374	0.004330089208683718
C15310017	I-kappaB kinase/NF-kappaB signaling	GO:0007249	0.005036558390350332
C15310017	negative regulation of sequence-specific DNA binding transcription factor activity	GO:0043433	0.005036558390350332
C15310017	positive regulation of NF-kappaB transcription factor activity	GO:0051092	0.005077313223747604
C15310017	response to muscle stretch	GO:0035994	0.005811541978983259
C15310017	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	GO:0006977	0.006115898082787785
C15310017	regulation of transcription, DNA-templated	GO:0006355	0.006474726021288291
C15310017	regulation of cell proliferation	GO:0042127	0.0068324864316676726
C15310017	ERBB2 signaling pathway	GO:0038128	0.009037887489816264
C15310017	cellular response to platelet-derived growth factor stimulus	GO:0036120	0.00965411541395178
C107415	positive regulation of transcription from RNA polymerase II promoter	GO:0045944	1.7162617758494397e-24
C107415	positive regulation of transcription, DNA-templated	GO:0045893	1.8084327169923092e-19
C107415	viral process	GO:0016032	2.170486013142181e-13
C107415	negative regulation of apoptotic process	GO:0043066	2.170486013142181e-13
C107415	Fc-epsilon receptor signaling pathway	GO:0038095	3.255729019713272e-12
C107415	apoptotic process	GO:0006915	3.689826222341708e-12
C107415	negative regulation of cell proliferation	GO:0008285	5.426215032855453e-12
C107415	negative regulation of transcription from RNA polymerase II promoter	GO:0000122	1.3732665005150581e-09
C107415	stimulatory C-type lectin receptor signaling pathway	GO:0002223	2.3792867676064593e-09
C107415	negative regulation of transcription, DNA-templated	GO:0045892	6.835945698391299e-09
C107415	protein phosphorylation	GO:0006468	8.7181911689882e-09
C107415	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	GO:1900740	9.084330043762633e-08
C107415	JAK-STAT cascade involved in growth hormone signaling pathway	GO:0060397	1.6126010037309513e-06
C107415	positive regulation of apoptotic process	GO:0043065	2.1815967401472847e-06
C107415	signal transduction	GO:0007165	4.4482143167767765e-06
C107415	peptidyl-serine phosphorylation	GO:0018105	5.680795395313076e-06
C107415	proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0043161	9.811634563816616e-06
C107415	cellular response to insulin stimulus	GO:0032869	1.3329492867031336e-05
C107415	stress-activated MAPK cascade	GO:0051403	1.684078708252823e-05
C107415	ERBB2 signaling pathway	GO:0038128	2.5697382666667323e-05
C107415	T cell receptor signaling pathway	GO:0050852	3.3767269649764835e-05
C107415	positive regulation of neuron apoptotic process	GO:0043525	6.357345698049244e-05
C107415	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	GO:0043154	0.00010123280221596698
C107415	protein autophosphorylation	GO:0046777	0.0001596144531694765
C107415	response to drug	GO:0042493	0.00016086404359638706
C107415	cell proliferation	GO:0008283	0.00024765868407250485
C107415	membrane organization	GO:0061024	0.0002625498736368304
C107415	peptidyl-tyrosine phosphorylation	GO:0018108	0.0005189899754880488
C107415	protein targeting	GO:0006605	0.0009046197088080633
C107415	negative regulation of canonical Wnt signaling pathway	GO:0090090	0.0009340309458830688
C107415	positive regulation of cell proliferation	GO:0008284	0.0010066171516566194
C107415	negative regulation of neuron death	GO:1901215	0.0010575654149794778
C107415	positive regulation of protein phosphorylation	GO:0001934	0.0010631335899567995
C107415	beta-catenin destruction complex disassembly	GO:1904886	0.0011033516011518252
C107415	MAPK cascade	GO:0000165	0.0015095352745285726
C107415	beta-catenin-TCF complex assembly	GO:1904837	0.0016481231790249626
C107415	positive regulation of nitric oxide biosynthetic process	GO:0045429	0.0016481231790249626
C107415	negative regulation of protein kinase activity	GO:0006469	0.0017112762211678456
C107415	transcription, DNA-templated	GO:0006351	0.0017303522339109367
C107415	protein stabilization	GO:0050821	0.0018947833148958981
C107415	cellular response to UV	GO:0034644	0.0018962652171176093
C107415	positive regulation of sequence-specific DNA binding transcription factor activity	GO:0051091	0.0026813947589110487
C107415	intrinsic apoptotic signaling pathway in response to DNA damage	GO:0008630	0.0028296976758437342
C107415	regulation of cellular response to heat	GO:1900034	0.003194717825608761
C107415	positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response	GO:0006990	0.0033589177870342324
C107415	transcription from RNA polymerase II promoter	GO:0006366	0.0035480364532163296
C107415	positive regulation of telomerase activity	GO:0051973	0.004758629754126553
C107415	platelet activation	GO:0030168	0.005330974546837175
C107415	canonical Wnt signaling pathway	GO:0060070	0.006344102985314071
C107415	JAK-STAT cascade	GO:0007259	0.007910353870215771
C107415	cellular response to DNA damage stimulus	GO:0006974	0.00849418891933307
C107415	negative regulation of protein binding	GO:0032091	0.00895830592254443
C107415	regulation of signal transduction by p53 class mediator	GO:1901796	0.009351921996067158
C584792	positive regulation of transcription from RNA polymerase II promoter	GO:0045944	7.198188436612141e-29
C584792	positive regulation of transcription, DNA-templated	GO:0045893	3.64385698508269e-18
C584792	transcription from RNA polymerase II promoter	GO:0006366	6.862244106287108e-11
C584792	negative regulation of transcription from RNA polymerase II promoter	GO:0000122	2.818572042428968e-10
C584792	protein phosphorylation	GO:0006468	4.535396058713559e-09
C584792	regulation of cellular response to heat	GO:1900034	4.575601231238125e-09
C584792	response to drug	GO:0042493	3.339386844825043e-08
C584792	negative regulation of transcription, DNA-templated	GO:0045892	1.9432126285856555e-07
C584792	transcription, DNA-templated	GO:0006351	8.181321952127619e-07
C584792	peptidyl-serine phosphorylation	GO:0018105	1.313127437785333e-06
C584792	beta-catenin-TCF complex assembly	GO:1904837	2.435309983184197e-05
C584792	cellular response to DNA damage stimulus	GO:0006974	2.687046311233843e-05
C584792	regulation of protein stability	GO:0031647	3.8614210073451005e-05
C584792	stimulatory C-type lectin receptor signaling pathway	GO:0002223	6.302315846629103e-05
C584792	cell cycle arrest	GO:0007050	6.542486466509789e-05
C584792	apoptotic process	GO:0006915	7.00569912135407e-05
C584792	negative regulation of apoptotic process	GO:0043066	0.00010773481421488816
C584792	negative regulation of cell proliferation	GO:0008285	0.00011058338361480403
C584792	platelet activation	GO:0030168	0.00013953251629883479
C584792	viral process	GO:0016032	0.0001856256685054403
C584792	transforming growth factor beta receptor signaling pathway	GO:0007179	0.0003371747167353334
C584792	cellular response to UV	GO:0034644	0.0008372974046836347
C584792	regulation of transcription from RNA polymerase II promoter	GO:0006357	0.002633369649913786
C584792	positive regulation by host of viral transcription	GO:0043923	0.003374835704996193
C584792	Fc-epsilon receptor signaling pathway	GO:0038095	0.0056199419292024535
C584792	SMAD protein signal transduction	GO:0060395	0.006595916568403748
C584792	protein stabilization	GO:0050821	0.00666781956025686
C584792	regulation of transcription, DNA-templated	GO:0006355	0.00896164733887772
C82560541	positive regulation of transcription from RNA polymerase II promoter	GO:0045944	5.913930241919423e-22
C82560541	viral process	GO:0016032	1.716692833133523e-18
C82560541	peptidyl-tyrosine phosphorylation	GO:0018108	3.8461467350684125e-17
C82560541	peptidyl-tyrosine autophosphorylation	GO:0038083	6.478289566092721e-16
C82560541	protein autophosphorylation	GO:0046777	9.475712567171228e-15
C82560541	negative regulation of apoptotic process	GO:0043066	6.043295094585802e-14
C82560541	protein phosphorylation	GO:0006468	6.374182858879018e-14
C82560541	transmembrane receptor protein tyrosine kinase signaling pathway	GO:0007169	2.1904700275854333e-13
C82560541	Fc-gamma receptor signaling pathway involved in phagocytosis	GO:0038096	6.571410082756303e-13
C82560541	positive regulation of transcription, DNA-templated	GO:0045893	1.3142820165512605e-12
C82560541	vascular endothelial growth factor receptor signaling pathway	GO:0048010	3.0666580386196074e-12
C82560541	Fc-epsilon receptor signaling pathway	GO:0038095	1.327424836716773e-10
C82560541	peptidyl-serine phosphorylation	GO:0018105	2.5124691216404926e-10
C82560541	positive regulation of gene expression	GO:0010628	3.474085463750498e-10
C82560541	response to drug	GO:0042493	3.820179728108997e-10
C82560541	platelet activation	GO:0030168	1.7468998469993833e-09
C82560541	T cell receptor signaling pathway	GO:0050852	2.653973485422512e-09
C82560541	positive regulation of cell migration	GO:0030335	3.544837645641508e-09
C82560541	regulation of cell proliferation	GO:0042127	3.835951112307612e-09
C82560541	epidermal growth factor receptor signaling pathway	GO:0007173	7.526016920778035e-09
C82560541	signal transduction	GO:0007165	7.871892138133775e-09
C82560541	regulation of phosphatidylinositol 3-kinase signaling	GO:0014066	9.052336435999564e-09
C82560541	positive regulation of cell proliferation	GO:0008284	1.0199923683451573e-08
C82560541	regulation of transcription from RNA polymerase II promoter in response to hypoxia	GO:0061418	1.9265840811577558e-08
C82560541	positive regulation of angiogenesis	GO:0045766	3.5990736169111415e-08
C82560541	negative regulation of cell proliferation	GO:0008285	4.018789567794556e-08
C82560541	positive regulation of endothelial cell proliferation	GO:0001938	6.677932418153176e-08
C82560541	positive regulation of pri-miRNA transcription from RNA polymerase II promoter	GO:1902895	7.844423333125405e-08
C82560541	regulation of cellular response to heat	GO:1900034	1.5736685921030613e-07
C82560541	stimulatory C-type lectin receptor signaling pathway	GO:0002223	2.489219163015477e-07
C82560541	ERBB2 signaling pathway	GO:0038128	2.865458574863311e-07
C82560541	regulation of sequence-specific DNA binding transcription factor activity	GO:0051090	4.730229097305028e-07
C82560541	JAK-STAT cascade involved in growth hormone signaling pathway	GO:0060397	8.054495239662173e-07
C82560541	positive regulation of nitric oxide biosynthetic process	GO:0045429	8.260955632888313e-07
C82560541	transforming growth factor beta receptor signaling pathway	GO:0007179	1.2434865668264905e-06
C82560541	transcription from RNA polymerase II promoter	GO:0006366	3.1984747551616617e-06
C82560541	positive regulation of blood vessel endothelial cell migration	GO:0043536	4.270857849375531e-06
C82560541	negative regulation of transcription from RNA polymerase II promoter	GO:0000122	5.109641404876797e-06
C82560541	MAPK cascade	GO:0000165	5.505378601666777e-06
C82560541	angiogenesis	GO:0001525	7.383062605614833e-06
C82560541	positive regulation of tyrosine phosphorylation of Stat3 protein	GO:0042517	1.1548407639727644e-05
C82560541	positive regulation of phosphatidylinositol 3-kinase signaling	GO:0014068	2.5407123684706438e-05
C82560541	intracellular signal transduction	GO:0035556	2.678653686072341e-05
C82560541	positive regulation of ERK1 and ERK2 cascade	GO:0070374	5.7641743313130434e-05
C82560541	regulation of platelet aggregation	GO:0090330	5.900797788593871e-05
C82560541	cell cycle arrest	GO:0007050	8.071621544636365e-05
C82560541	phosphatidylinositol-mediated signaling	GO:0048015	8.320428830443927e-05
C82560541	cellular response to insulin stimulus	GO:0032869	9.900535749818308e-05
C82560541	T cell costimulation	GO:0031295	0.00010970119452491378
C82560541	regulation of cell cycle	GO:0051726	0.00032475734893788744
C82560541	peptidyl-threonine phosphorylation	GO:0018107	0.000391200345580156
C82560541	positive regulation of protein phosphorylation	GO:0001934	0.0003987953994801785
C82560541	phosphatidylinositol phosphorylation	GO:0046854	0.00047593002788604016
C82560541	negative regulation of transcription, DNA-templated	GO:0045892	0.0005066592487767974
C82560541	response to hypoxia	GO:0001666	0.0005246913520066121
C82560541	positive regulation of NF-kappaB transcription factor activity	GO:0051092	0.0005918971134102335
C82560541	cellular response to vascular endothelial growth factor stimulus	GO:0035924	0.000794720874711552
C82560541	regulation of protein stability	GO:0031647	0.0009170640373790118
C82560541	response to cAMP	GO:0051591	0.0012694515284097374
C82560541	innate immune response	GO:0045087	0.002526171553314916
C82560541	regulation of interferon-gamma-mediated signaling pathway	GO:0060334	0.00270761088854643
C82560541	positive regulation of protein kinase B signaling	GO:0051897	0.0032010181747378352
C82560541	B cell receptor signaling pathway	GO:0050853	0.003345735790165505
C82560541	inflammatory response	GO:0006954	0.003499342519460047
C82560541	aging	GO:0007568	0.0036274419754226406
C82560541	regulation of apoptotic process	GO:0042981	0.0037127675674735188
C82560541	positive regulation of phosphatidylinositol 3-kinase activity	GO:0043552	0.003837029538440784
C82560541	lipopolysaccharide-mediated signaling pathway	GO:0031663	0.0045215000214715575
C82560541	negative regulation of ERK1 and ERK2 cascade	GO:0070373	0.005124405223437378
C82560541	positive regulation of epithelial to mesenchymal transition	GO:0010718	0.005298094717220868
C82560541	positive regulation of MAP kinase activity	GO:0043406	0.005671618995500728
C82560541	positive regulation of smooth muscle cell proliferation	GO:0048661	0.0062653012666067385
C82560541	negative regulation of neuron apoptotic process	GO:0043524	0.006341103299653207
C82560541	response to stress	GO:0006950	0.006908374147102214
C82560541	protein stabilization	GO:0050821	0.007917772474078433
C82560541	negative regulation of transforming growth factor beta receptor signaling pathway	GO:0030512	0.009164872687633552
C82560541	positive regulation of cell differentiation	GO:0045597	0.009502251509348471
C82560541	integrin-mediated signaling pathway	GO:0007229	0.0096458144743512
C6893023	negative regulation of apoptotic process	GO:0043066	3.1226767815809423e-22
C6893023	viral process	GO:0016032	1.061176440537958e-14
C6893023	positive regulation of transcription from RNA polymerase II promoter	GO:0045944	2.2315482794965646e-13
C6893023	stimulatory C-type lectin receptor signaling pathway	GO:0002223	5.132561042842099e-12
C6893023	vascular endothelial growth factor receptor signaling pathway	GO:0048010	1.695976692417389e-11
C6893023	positive regulation of transcription, DNA-templated	GO:0045893	3.2357450052700194e-11
C6893023	Fc-gamma receptor signaling pathway involved in phagocytosis	GO:0038096	9.461764705065434e-11
C6893023	regulation of transcription from RNA polymerase II promoter in response to hypoxia	GO:0061418	8.622702551974727e-10
C6893023	Fc-epsilon receptor signaling pathway	GO:0038095	9.742939788282e-10
C6893023	positive regulation of protein phosphorylation	GO:0001934	1.816703454338153e-09
C6893023	protein autophosphorylation	GO:0046777	8.461361611367124e-09
C6893023	apoptotic process	GO:0006915	1.619300682431657e-08
C6893023	peptidyl-tyrosine phosphorylation	GO:0018108	2.3747690147679634e-08
C6893023	peptidyl-serine phosphorylation	GO:0018105	2.608791482838768e-08
C6893023	positive regulation of gene expression	GO:0010628	3.4667609771776853e-07
C6893023	response to drug	GO:0042493	3.5373292039952986e-07
C6893023	negative regulation of cell proliferation	GO:0008285	3.7679864128836726e-07
C6893023	positive regulation of cell proliferation	GO:0008284	8.540513215526957e-07
C6893023	cell cycle arrest	GO:0007050	1.7409321725336826e-06
C6893023	positive regulation of apoptotic process	GO:0043065	2.519790403998634e-06
C6893023	platelet activation	GO:0030168	2.597568365736436e-06
C6893023	T cell receptor signaling pathway	GO:0050852	3.0463787675794048e-06
C6893023	protein phosphorylation	GO:0006468	3.9828302084155e-06
C6893023	signal transduction	GO:0007165	5.5713926655487364e-06
C6893023	positive regulation of peptidyl-serine phosphorylation	GO:0033138	6.190625374546953e-06
C6893023	transmembrane receptor protein tyrosine kinase signaling pathway	GO:0007169	6.5259794260752466e-06
C6893023	negative regulation of transcription from RNA polymerase II promoter	GO:0000122	1.1297275464450252e-05
C6893023	negative regulation of transcription, DNA-templated	GO:0045892	1.7353052230384414e-05
C6893023	cellular response to hydrogen peroxide	GO:0070301	2.3608611414038805e-05
C6893023	intracellular signal transduction	GO:0035556	2.536140796061126e-05
C6893023	MAPK cascade	GO:0000165	2.8421775001841173e-05
C6893023	protein ubiquitination involved in ubiquitin-dependent protein catabolic process	GO:0042787	5.3234450782646554e-05
C6893023	proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0043161	0.00010738565363921372
C6893023	positive regulation of endothelial cell proliferation	GO:0001938	0.00011060267513773867
C6893023	positive regulation of mitotic cell cycle	GO:0045931	0.00012054341436806836
C6893023	positive regulation of ERK1 and ERK2 cascade	GO:0070374	0.00021214898758448172
C6893023	cellular response to insulin stimulus	GO:0032869	0.00026439104485753706
C6893023	positive regulation of cell migration	GO:0030335	0.00035305112436534447
C6893023	rhythmic process	GO:0048511	0.0003534255987681645
C6893023	Wnt signaling pathway	GO:0016055	0.0004157356305183324
C6893023	positive regulation of peptidyl-tyrosine phosphorylation	GO:0050731	0.0004336581706563258
C6893023	cellular response to peptide hormone stimulus	GO:0071375	0.0007029586721329918
C6893023	regulation of cell cycle	GO:0051726	0.0009531240536040377
C6893023	peptidyl-tyrosine autophosphorylation	GO:0038083	0.001138328382045528
C6893023	beta-catenin destruction complex disassembly	GO:1904886	0.0011790899412418288
C6893023	cellular response to DNA damage stimulus	GO:0006974	0.001206220696687521
C6893023	cell migration	GO:0016477	0.001691815553581777
C6893023	response to hypoxia	GO:0001666	0.001691815553581777
C6893023	cell proliferation	GO:0008283	0.0017301579238947484
C6893023	positive regulation of neuron apoptotic process	GO:0043525	0.0017736740654812344
C6893023	regulation of cellular response to heat	GO:1900034	0.003460292557373345
C6893023	regulation of phosphatidylinositol 3-kinase signaling	GO:0014066	0.004516420944071675
C6893023	positive regulation of type I interferon production	GO:0032481	0.0049748983775820274
C6893023	protein complex assembly	GO:0006461	0.006198145890293327
C6893023	positive regulation of I-kappaB kinase/NF-kappaB signaling	GO:0043123	0.008411216876264338
C6893023	epidermal growth factor receptor signaling pathway	GO:0007173	0.00867580406619739
C6893023	negative regulation of canonical Wnt signaling pathway	GO:0090090	0.00930169537905634
C117793	protein phosphorylation	GO:0006468	1.9181123000863865e-15
C117793	positive regulation of transcription from RNA polymerase II promoter	GO:0045944	1.477125373922013e-14
C117793	negative regulation of apoptotic process	GO:0043066	1.7461572836826422e-14
C117793	viral process	GO:0016032	6.951217379480567e-12
C117793	response to drug	GO:0042493	9.27124610416996e-09
C117793	positive regulation of transcription, DNA-templated	GO:0045893	1.3414171551318077e-08
C117793	peptidyl-serine phosphorylation	GO:0018105	1.510571434604202e-08
C117793	apoptotic process	GO:0006915	6.220395610823104e-07
C117793	protein autophosphorylation	GO:0046777	1.1325310047549664e-06
C117793	signal transduction	GO:0007165	1.6003705460843063e-06
C117793	Fc-epsilon receptor signaling pathway	GO:0038095	1.778847544819939e-06
C117793	positive regulation of apoptotic process	GO:0043065	4.1352553321605265e-06
C117793	stimulatory C-type lectin receptor signaling pathway	GO:0002223	6.022244555925482e-06
C117793	aging	GO:0007568	7.189206265745262e-06
C117793	positive regulation of cell proliferation	GO:0008284	1.7322992279189542e-05
C117793	response to hydrogen peroxide	GO:0042542	3.704201272891616e-05
C117793	negative regulation of cell proliferation	GO:0008285	4.280065152428847e-05
C117793	intracellular signal transduction	GO:0035556	5.598226492375957e-05
C117793	regulation of sequence-specific DNA binding transcription factor activity	GO:0051090	0.00016527122729637078
C117793	nucleotide-binding oligomerization domain containing signaling pathway	GO:0070423	0.00016527122729637078
C117793	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	GO:0006977	0.00018082223323412358
C117793	T cell receptor signaling pathway	GO:0050852	0.0002214692111208727
C117793	MAPK cascade	GO:0000165	0.00024733373835816863
C117793	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	GO:0043154	0.00042384949680129846
C117793	cell proliferation	GO:0008283	0.0004687600989345953
C117793	positive regulation of protein phosphorylation	GO:0001934	0.0005008604062776144
C117793	positive regulation of I-kappaB kinase/NF-kappaB signaling	GO:0043123	0.0005219643837057752
C117793	regulation of tumor necrosis factor-mediated signaling pathway	GO:0010803	0.0005337131075352497
C117793	negative regulation of canonical Wnt signaling pathway	GO:0090090	0.0005911245292458122
C117793	proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0043161	0.0007039345963156808
C117793	positive regulation of NF-kappaB transcription factor activity	GO:0051092	0.0007715294011279018
C117793	cellular response to platelet-derived growth factor stimulus	GO:0036120	0.0009565775775056684
C117793	cell cycle arrest	GO:0007050	0.0013272060417668374
C117793	negative regulation of epidermal growth factor receptor signaling pathway	GO:0042059	0.0016731605097555224
C117793	positive regulation of cell migration	GO:0030335	0.0019824222955785453
C117793	platelet activation	GO:0030168	0.0021566444136265073
C117793	stress-activated MAPK cascade	GO:0051403	0.0022212027193345696
C117793	I-kappaB kinase/NF-kappaB signaling	GO:0007249	0.0024159143511607306
C117793	response to stress	GO:0006950	0.0027081431175001174
C117793	beta-catenin destruction complex disassembly	GO:1904886	0.0028526734909229967
C117793	peptidyl-tyrosine autophosphorylation	GO:0038083	0.003197837791127367
C117793	innate immune response	GO:0045087	0.003952615596415021
C117793	cellular response to DNA damage stimulus	GO:0006974	0.006560504934476019
C117793	positive regulation of peptidyl-serine phosphorylation	GO:0033138	0.006937471731582212
C117793	transcription from RNA polymerase II promoter	GO:0006366	0.008834172542433126
C117793	positive regulation of DNA biosynthetic process	GO:2000573	0.009305465431782012
C117793	prepulse inhibition	GO:0060134	0.009305465431782012
C117793	positive regulation of ERK1 and ERK2 cascade	GO:0070374	0.00940522507491559
C117793	cell cycle	GO:0007049	0.009848030479463366
C69090	positive regulation of transcription from RNA polymerase II promoter	GO:0045944	1.7093453572317418e-23
C69090	negative regulation of apoptotic process	GO:0043066	2.0866736411435922e-23
C69090	positive regulation of transcription, DNA-templated	GO:0045893	2.4563451048361267e-19
C69090	viral process	GO:0016032	9.643241298198913e-15
C69090	negative regulation of transcription from RNA polymerase II promoter	GO:0000122	7.192690887336539e-12
C69090	regulation of signal transduction by p53 class mediator	GO:1901796	7.986367123180571e-11
C69090	proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0043161	1.138429350788783e-10
C69090	transcription from RNA polymerase II promoter	GO:0006366	5.893046051141937e-10
C69090	protein stabilization	GO:0050821	5.412375880808895e-09
C69090	response to drug	GO:0042493	1.7644662730909033e-08
C69090	negative regulation of cell proliferation	GO:0008285	4.144478005230212e-08
C69090	negative regulation of transcription, DNA-templated	GO:0045892	9.43879419068594e-08
C69090	positive regulation of cell proliferation	GO:0008284	1.498703684488234e-07
C69090	positive regulation of gene expression	GO:0010628	8.926194855485292e-07
C69090	positive regulation of protein phosphorylation	GO:0001934	5.565902274407009e-06
C69090	cellular response to hydrogen peroxide	GO:0070301	5.940640306678624e-06
C69090	apoptotic process	GO:0006915	6.8285316544569605e-06
C69090	canonical Wnt signaling pathway	GO:0060070	1.158339528484209e-05
C69090	regulation of protein stability	GO:0031647	3.872370842783468e-05
C69090	protein ubiquitination involved in ubiquitin-dependent protein catabolic process	GO:0042787	4.6484028752180606e-05
C69090	Wnt signaling pathway	GO:0016055	4.998860803318017e-05
C69090	negative regulation of canonical Wnt signaling pathway	GO:0090090	9.409297851159516e-05
C69090	cell proliferation	GO:0008283	0.00013326706632565966
C69090	hair follicle placode formation	GO:0060789	0.0002428782741438207
C69090	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	GO:0032436	0.0003097489719876556
C69090	protein sumoylation	GO:0016925	0.000323751934063532
C69090	intrinsic apoptotic signaling pathway in response to DNA damage	GO:0008630	0.0005605258818954795
C69090	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	GO:0043154	0.0005624140892589446
C69090	peptidyl-serine phosphorylation	GO:0018105	0.0006038863494424174
C69090	protein phosphorylation	GO:0006468	0.000609672152481866
C69090	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	GO:1900740	0.0006686065553764831
C69090	aging	GO:0007568	0.0009574499227362754
C69090	negative regulation of protein catabolic process	GO:0042177	0.0010045960113866936
C69090	regulation of cellular response to heat	GO:1900034	0.0010819980959312359
C69090	rhythmic process	GO:0048511	0.0014936011006045913
C69090	positive regulation of ERK1 and ERK2 cascade	GO:0070374	0.0017212328774078856
C69090	protein destabilization	GO:0031648	0.001757580044118634
C69090	positive regulation of apoptotic process	GO:0043065	0.001968468289480385
C69090	positive regulation of pri-miRNA transcription from RNA polymerase II promoter	GO:1902895	0.0020706604208710067
C69090	cell cycle	GO:0007049	0.0021023681179188625
C69090	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	GO:0006977	0.003891442383228028
C69090	androgen receptor signaling pathway	GO:0030521	0.004641869777261221
C69090	transforming growth factor beta receptor signaling pathway	GO:0007179	0.005209340719114053
C69090	axon guidance	GO:0007411	0.005521019119740123
C69090	beta-catenin-TCF complex assembly	GO:1904837	0.006192593991714014
C69090	positive regulation of neuron apoptotic process	GO:0043525	0.006192593991714014
C69090	cellular response to UV	GO:0034644	0.007112032602421992
C69090	cellular response to DNA damage stimulus	GO:0006974	0.00928201901702752
C97745	Fc-epsilon receptor signaling pathway	GO:0038095	1.9579331518512325e-18
C97745	positive regulation of transcription from RNA polymerase II promoter	GO:0045944	1.0459861548243056e-17
C97745	protein phosphorylation	GO:0006468	9.202095277993553e-14
C97745	stimulatory C-type lectin receptor signaling pathway	GO:0002223	8.002487561498127e-13
C97745	negative regulation of apoptotic process	GO:0043066	1.060329601898502e-11
C97745	viral process	GO:0016032	2.9609203977543075e-11
C97745	positive regulation of NF-kappaB transcription factor activity	GO:0051092	3.42106343254045e-11
C97745	positive regulation of transcription, DNA-templated	GO:0045893	1.62450497498412e-10
C97745	transforming growth factor beta receptor signaling pathway	GO:0007179	2.717844838073802e-09
C97745	T cell receptor signaling pathway	GO:0050852	3.0919611315738393e-09
C97745	peptidyl-serine phosphorylation	GO:0018105	5.927442536801664e-09
C97745	nucleotide-binding oligomerization domain containing signaling pathway	GO:0070423	7.175830596395372e-09
