Q8TBF5	PIGX
Q14596	NBR1
Q8WZ94	OR5P3
Q14592	ZNF460
Q14593	ZNF273
Q14590	ZNF235
Q8WZ92	OR5P2
A8MPS7	YDJC
Q9BRJ7	NUDT16L1
O60287	URB1
Q5JX71	FAM209A
O60285	NUAK1
B2RNN3	C1QTNF9B
Q5T1H1	EYS
O60282	KIF5C
O60281	ZNF292
O75718	CRTAP
O75717	WDHD1
O75716	STK16
O75715	GPX5
O75712	GJB3
O75711	SCRG1
Q86TV6	TTC7B
P32297	CHRNA3
P11309	PIM1
P11308	ERG
Q12982	BNIP2
Q8IWR1	TRIM59
Q8IWR0	ZC3H7A
P14151	SELL
Q9NXT0	ZNF586
P32298	GRK4
Q15973	ZNF124
O43670	ZNF207
O43674	NDUFB5
O43677	NDUFC1
O43676	NDUFB3
O43679	LDB2
O43678	NDUFA2
Q3BBV2	NBPF8
Q5SZD4	GLYATL3
Q9Y608	LRRFIP2
O95467	GNAS
O95466	FMNL1
Q15629	TRAM1
Q14623	IHH
Q8WXS5	CACNG8
Q8WXS4	TMEM37
Q14626	IL11RA
Q14627	IL13RA2
Q8WXS8	ADAMTS14
Q15620	OR8B8
Q9UNY4	TTF2
Q9UNY5	ZNF232
Q13489	BIRC3
Q13488	TCIRG1
Q9H4A9	DPEP2
Q13485	SMAD4
Q9H4A6	GOLPH3
Q13487	SNAPC2
Q9H4A4	RNPEP
Q9H4A3	WNK1
Q13480	GAB1
Q9Y5A9	YTHDF2
P54710	FXYD2
Q9HAC8	UBTD1
P32121	ARRB2
Q9Y606	PUS1
Q9ULK6	RNF150
Q70CQ2	USP34
Q8IW93	ARHGEF19
Q99470	SDF2
Q99471	PFDN5
Q70CQ4	USP31
Q9HAC7	SUGCT
Q9GZX7	AICDA
Q9GZX6	IL22
Q9GZX5	ZNF350
Q9GZX3	CHST6
Q8IZP0	ABI1
Q6NXR0	IRGC
Q9GZX9	TWSG1
Q6ZNA1	ZNF836
O95793	STAU1
Q6ZNA4	RNF111
Q5VXT5	SYPL2
P85298	ARHGAP8
Q8N6M0	OTUD6B
Q5T4F7	SFRP5
Q9BWD1	ACAT2
Q9BWD3	FAM127B
P21860	ERBB3
Q99811	PRRX2
P04090	RLN2
Q8N6M6	AOPEP
Q9UH99	SUN2
O43299	AP5Z1
O75419	CDC45
Q6PIL6	KCNIP4
Q9NWF9	RNF216
Q96PH1	NOX5
Q9NY12	GAR1
Q8NBK3	SUMF1
Q9NY15	STAB1
B2RUY7	VWC2L
Q9P2E2	KIF17
Q96MH2	HEXIM2
Q8WUY1	THEM6
Q96MH7	C5orf34
Q96MH6	TMEM68
Q16445	GABRA6
P62487	POLR2G
P33981	TTK
Q9Y6N5	SQRDL
Q8N6M9	ZFAND2A
Q6ZN44	UNC5A
O75410	TACC1
O15123	ANGPT2
Q14088	RAB33A
Q9BYQ4	KRTAP9-2
Q8NH59	OR51Q1
Q9BYQ6	KRTAP4-11
Q5H9R7	PPP6R3
Q9BYQ2	KRTAP9-4
P62256	UBE2H
Q9BQ65	USB1
Q8NH51	OR8K3
Q9BQ67	GRWD1
A8MUK1	USP17L5
Q8NH54	OR56A3
Q8NH55	OR52E5
Q8NH56	OR52N5
O94933	SLITRK3
Q969X5	ERGIC1
Q9H5J0	ZBTB3
Q8TBH0	ARRDC2
P62158	CALM2
Q9UPS6	SETD1B
Q96B86	RGMA
Q96HR3	MED30
P09958	FURIN
P61599	NAA20
Q96HR9	REEP6
Q16661	GUCA2B
Q16666	IFI16
Q16667	CDKN3
Q9UPS8	ANKRD26
Q16665	HIF1A
Q7Z398	ZNF550
Q6ZVD8	PHLPP2
Q8NA42	ZNF383
Q9H0E9	BRD8
O15121	DEGS1
Q9H0E7	USP44
Q7Z460	CLASP1
Q9H0E3	SAP130
Q9H0E2	TOLLIP
Q7Z465	BNIPL
Q9NQT5	EXOSC3
Q9NQT4	EXOSC5
B2RTY4	MYO9A
A6NHC0	CAPN8
O43617	TRAPPC3
Q6ZW49	PAXIP1
Q7LFL8	CXXC5
O75469	NR1I2
Q4W5P6	TMEM155
P61916	NPC2
Q96J88	EPSTI1
Q96J84	KIRREL
Q96J86	CYYR1
Q96J87	CELF6
Q96D59	RNF183
Q9BZQ6	EDEM3
A2RRH5	WDR27
P56378	MP68
Q7Z4K8	TRIM46
P51679	CCR4
P56373	P2RX3
P51674	GPM6A
P56377	AP1S2
P51671	CCL11
Q9BZQ8	FAM129A
Q8N5H7	SH2D3C
Q8N5H3	FAM89B
Q9NZZ3	CHMP5
Q8NAA4	ATG16L2
Q9NSJ1	ZNF355P
Q08AG5	ZNF844
Q9UJJ7	RPUSD1
Q08AG7	MZT1
P17050	NAGA
P13747	HLA-E
P13746	HLA-A
Q6ZTW0	TPGS1
P78310	CXADR
Q15270	NKX1-1
Q8NGR4	OR5C1
P05230	FGF1
Q3B7J2	GFOD2
Q5TD97	FHL5
Q53ET0	CRTC2
Q6IV72	ZNF425
P78348	ASIC1
Q9NRZ5	AGPAT4
P78346	RPP30
P78347	GTF2I
Q6P1W5	C1orf94
Q9NRZ9	HELLS
Q6NUK1	SLC25A24
P27930	IL1R2
O76021	RSL1D1
Q96S19	C16orf13
O76024	WFS1
O00144	FZD9
O76027	ANXA9
Q96T60	PNKP
P01703	IGLV1-40
P01700	IGLV1-47
P01701	IGLV1-51
P01706	IGLV2-11
Q658K8	EEF1DP3
P01704	IGLV2-14
O00408	PDE2A
Q15366	PCBP2
O00142	TK2
Q15365	PCBP1
P02741	CRP
O00401	WASL
Q15361	TTF1
Q13901	C1D
Q969U6	FBXW5
Q969U7	PSMG2
P59044	NLRP6
Q13905	RAPGEF1
P59046	NLRP12
O15091	KIAA0391
Q56P03	EAPP
O00141	SGK1
P02746	C1QB
P02745	C1QA
Q9P035	HACD3
Q53FP2	TMEM35A
P08151	GLI1
P08620	FGF4
P08621	SNRNP70
Q9BZE3	BARHL1
Q8N264	ARHGAP24
A6NDG6	PGP
Q8TAB7	CCDC26
P05496	ATP5G1
Q719H9	KCTD1
C4AMC7	WASH3P
Q8WYP3	RIN2
P02749	APOH
Q8N268	C20orf197
Q9UKL0	RCOR1
O00763	ACACB
Q9UKL2	OR52A1
Q9UKL3	CASP8AP2
Q9UKL4	GJD2
P07148	FABP1
Q9UKL6	PCTP
P15153	RAC2
P06280	GLA
Q8TAB3	PCDH19
O15320	CTAGE5
O15321	TM9SF1
P21695	GPD1
O15327	INPP4B
Q9H1A7	POLR2J3
Q9H1A4	ANAPC1
Q9BZE4	GTPBP4
Q9H1A3	METTL9
P43320	CRYBB2
Q99865	SPIN2A
Q99640	PKMYT1
Q99643	SDHC
Q8WTV1	THAP3
Q99645	EPYC
Q8TB05	UBALD1
O95967	EFEMP2
Q8NEM1	ZNF680
Q8NEM0	MCPH1
Q8NEM2	SHCBP1
Q8TEZ7	PAQR8
Q8NEM7	SUPT20H
Q8N9L9	ACOT4
Q96P50	ACAP3
Q96P53	WDFY2
P01213	PDYN
Q9UH03	SEPT3
Q96P56	CATSPER2
P22352	GPX3
Q13469	NFATC2
Q9Y4E1	FAM21C
Q9P0X4	CACNA1I
P37108	SRP14
Q6PJP8	DCLRE1A
Q9UKX2	MYH2
P15516	HTN3
P18077	RPL35A
P18074	ERCC2
P18075	BMP7
P24001	IL32
O75940	SMNDC1
O15260	SURF4
Q86VZ6	JAZF1
O75947	ATP5H
Q9H147	DNTTIP1
Q6EIG7	CLEC6A
Q86VW0	SESTD1
Q9BXC9	BBS2
Q7Z5K2	WAPL
Q9NYG2	ZDHHC3
Q96K21	ZFYVE19
Q09013	DMPK
Q9NYG5	ANAPC11
Q8IV53	DENND1C
Q8IYK2	CCDC105
Q9NYG8	KCNK4
Q8IV50	LYSMD2
Q09019	DMWD
Q8IV56	PRR15
Q8NB66	UNC13C
O43248	HOXC11
Q8N998	CCDC89
Q5SYB0	FRMPD1
P49356	FNTB
A6NCE7	MAP1LC3B2
A6NM76	OR6C76
O43240	KLK10
Q8N3C7	CLIP4
O43791	SPOP
Q8N3C0	ASCC3
O43247	TEX33
P60412	KRTAP10-11
Q8WU90	ZC3H15
P60410	KRTAP10-8
Q9UPN4	CEP131
Q9UPN7	PPP6R1
Q9UPN6	SCAF8
Q9UPN9	TRIM33
P53634	CTSC
P51553	IDH3G
Q14108	SCARB2
Q9Y3Y4	PYGO1
Q9Y3Y2	CHTOP
Q8NGL6	OR4A15
Q14103	HNRNPD
Q14106	TOB2
O43424	GRID2
Q4LDG9	DNAL1
O43426	SYNJ1
O43427	FIBP
Q68D20	PMS2CL
O43422	THAP12
O43423	ANP32C
P16152	CBR1
P16150	SPN
P16157	ANK1
P56270	MAZ
Q7L5Y9	MAEA
Q16851	UGP2
Q16850	CYP51A1
Q16853	AOC3
Q3B726	TWISTNB
P04626	ERBB2
Q16854	DGUOK
Q9HCE3	ZNF532
Q9UGP8	SEC63
Q9H2B4	SLC26A1
P04628	WNT1
P04629	NTRK1
P56277	CMC4
O75366	AVIL
O75367	H2AFY
O75364	PITX3
O75365	PTP4A3
O75362	ZNF217
O75363	BCAS1
O75360	PROP1
Q9Y3Q4	HCN4
P56817	BACE1
Q8WUT9	SLC25A43
Q9UC06	ZNF70
O75368	SH3BGRL
O75369	FLNB
Q9BQY4	RHOXF2
Q8TCT7	SPPL2B
Q16594	TAF9
Q8TCT0	CERK
Q8TCT1	PHOSPHO1
Q6P2I3	FAHD2B
Q9NS85	CA10
Q6P2I7	EBLN2
Q8TCT8	SPPL2A
Q8TCT9	HM13
P41145	OPRK1
P41146	OPRL1
O14782	KIF3C
P20851	C4BPB
P41143	OPRD1
O14788	TNFSF11
O95081	AGFG2
Q6NWY9	PRPF40B
Q96F15	GIMAP5
Q96F10	SAT2
P67870	CSNK2B
Q13347	EIF3I
Q8IXQ6	PARP9
Q13342	SP140
Q8IXQ3	C9orf40
Q96CF2	CHMP4C
Q8WTP9	XAGE3
P23588	EIF4B
O95155	UBE4B
P54368	OAZ1
A4D1B5	GSAP
Q8NDA8	MROH1
Q9P1Y6	PHRF1
P21980	TGM2
Q5TC79	ZBTB37
P63146	UBE2B
Q8N442	GUF1
Q9NS87	KIF15
Q9NVE7	PANK4
Q8NDA2	HMCN2
O95931	CBX7
P11511	CYP19A1
Q8N336	ELMOD1
P20585	MSH3
Q16270	IGFBP7
Q6ICL3	TANGO2
P35626	GRK3
O95150	TNFSF15
A6NKN8	PCP4L1
Q8N7G0	POU5F2
Q9ULJ1	ODF2L
Q96FZ7	CHMP6
Q9ULJ3	ZBTB21
Q96FZ5	CMTM7
Q96FZ2	HMCES
Q9ULJ7	ANKRD50
Q9ULJ6	ZMIZ1
P49773	HINT1
Q9ULJ8	PPP1R9A
P49771	FLT3LG
P35625	TIMP3
Q15311	RALBP1
O15527	OGG1
O15524	SOCS1
O15525	MAFG
Q9BRI3	SLC30A2
O15523	DDX3Y
O15520	FGF10
O95633	FSTL3
O95630	STAMBP
O95631	NTN1
O15528	CYP27B1
P05937	CALB1
Q8IWI9	MGA
Q8NC38	ZNF436-AS1
Q9BZ29	DOCK9
A0MZ66	SHTN1
Q9BZ23	PANK2
Q92698	RAD54L
P07498	CSN3
Q8N8K9	KIAA1958
O14787	TNPO2
Q6NVU6	UFSP1
Q13733	ATP1A4
Q96EN8	MOCOS
Q96NZ8	WFIKKN1
Q96NZ9	PRAP1
P06703	S100A6
P06702	S100A9
Q502X0	MORN2
P40238	MPL
Q9UN42	ATP1B4
Q969G5	PRKCDBP
P51460	INSL3
Q5T124	UBXN11
Q86SK9	SCD5
O14786	NRP1
P37235	HPCAL1
O95935	TBX18
P30512	HLA-A
P37231	PPARG
P30510	HLA-C
Q9NW64	RBM22
Q9NW61	PLEKHJ1
P30518	AVPR2
Q96H72	SLC39A13
Q3V5L5	MGAT5B
Q96H79	ZC3HAV1L
Q96H78	SLC25A44
Q9UPN3	MACF1
Q9NS82	SLC7A10
Q96GX9	APIP
Q96GX8	C16orf74
O95249	GOSR1
O95248	SBF1
O14556	GAPDHS
Q86V21	AACS
Q86V20	FAM35A
Q96GX1	TCTN2
Q8WWR8	NEU4
Q96GX2	ATXN7L3B
Q9UP65	PLA2G4C
P48304	REG1B
Q6P3V2	ZNF585A
Q9HB14	KCNK13
Q08623	PUDP
Q08629	SPOCK1
Q08999	RBL2
Q9NPH9	IL26
Q8NHE4	ATP6V0E2
P06276	BCHE
P48426	PIP4K2A
Q01814	ATP2B2
Q9Y2Z9	COQ6
Q8TDI8	TMC1
Q9Y2Z2	MTO1
Q9Y2Z0	SUGT1
P29274	ADORA2A
P29275	ADORA2B
Q07352	ZFP36L1
Q9Y2Z4	YARS2
Q93009	USP7
Q93008	USP9X
A6NGC4	TLCD2
Q6W5P4	NPSR1
Q9NZU0	FLRT3
Q01740	FMO1
Q08ER8	ZNF543
P31391	SSTR4
Q5VUG0	SFMBT2
Q9BVM4	GGACT
O94964	SOGA1
Q9BVM2	DPCD
P10265	ERVK-10
P09493	TPM1
P09496	CLTA
P09497	CLTB
Q9H6R0	DHX33
Q5T2R2	PDSS1
Q9NVC6	MED17
Q9NVC3	SLC38A7
Q6IQ49	SDE2
Q9BT43	POLR3GL
Q9BT40	INPP5K
Q96A54	ADIPOR1
P07478	PRSS2
P58505	C21orf58
P07476	IVL
P07477	PRSS1
P01138	NGF
O94769	ECM2
Q96A57	TMEM230
Q9UGM3	DMBT1
P01130	LDLR
P01133	EGF
Q96AB6	NTAN1
P01135	TGFA
Q9UGM6	WARS2
Q96AB3	ISOC2
Q494X3	ZNF404
Q86UR1	NOXA1
P00846	MT-ATP6
Q86UR5	RIMS1
Q9UI08	EVL
Q8IYX3	CCDC116
Q8IYV9	IZUMO1
Q9Y5L2	HILPDA
Q9BXP8	PAPPA2
Q5JR98	TCTEX1D4
Q8TCI5	PIFO
Q8IVV7	GID4
Q9Y4P9	SPEF1
Q9Y4P8	WIPI2
Q9BXP2	SLC12A9
Q9Y691	KCNMB2
Q9Y4P3	TBL2
Q00887	PSG9
Q9Y4P1	ATG4B
Q9BXP5	SRRT
P35749	MYH11
Q6ULP2	AFTPH
P50479	PDLIM4
P32856	STX2
P43155	CRAT
Q92600	RQCD1
Q9Y5L4	TIMM13
Q9Y5L5	LENEP
Q92608	DOCK2
Q92609	TBC1D5
P0C5J1	FAM86B2
Q9BZJ6	GPR63
Q96PV4	PNMA5
Q9BZJ4	SLC25A39
P35499	SCN4A
O75558	STX11
Q9BZJ0	CRNKL1
O75888	TNFSF13
O75886	STAM2
O75556	SCGB2A1
P23219	PTGS1
O75881	CYP7B1
O75880	SCO1
Q99983	OMD
Q9BSJ8	ESYT1
Q99986	VRK1
Q99985	SEMA3C
Q9BSJ2	TUBGCP2
Q99988	GDF15
Q8TAS1	UHMK1
Q9BSJ6	FAM64A
Q9BSJ5	C17orf80
Q9UI15	TAGLN3
Q5T0B9	ZNF362
P17858	PFKL
Q15198	PDGFRL
Q6NTE8	C5orf45
Q9H426	RIMS4
Q9H427	KCNK15
Q96FG2	ELMOD3
O75083	WDR1
O75081	CBFA2T3
P0CAP2	POLR2M
Q32M78	ZNF699
Q99497	PARK7
Q9NRG4	SMYD2
Q9NRG7	SDR39U1
P14174	MIF
Q5TA45	CPSF3L
Q9NRG0	CHRAC1
O75771	RAD51D
P54886	ALDH18A1
Q13137	CALCOCO2
Q13136	PPFIA1
Q13131	PRKAA1
Q8NFB2	TMEM185A
Q13133	NR1H3
Q7RTZ2	USP17L1
P52739	ZNF131
P52738	ZNF140
P52737	ZNF136
P52736	ZNF133
P52735	VAV2
P52732	KIF11
A6NFD8	HELT
O43653	PSCA
P61952	GNG11
O43657	TSPAN6
Q9UIS9	MBD1
P61956	SUMO2
O94806	PRKD3
O95400	CD2BP2
O94804	STK10
O95402	MED26
O95405	ZFYVE9
P20309	CHRM3
Q15170	TCEAL1
P28566	HTR1E
O95409	ZIC2
Q14643	ITPR1
Q14644	RASA3
Q6P4A8	PLBD1
Q8TD17	ZNF398
Q99456	KRT12
P11182	DBT
Q8TD10	MIPOL1
Q99453	PHOX2B
Q9H4G1	CST9L
Q9H4G0	EPB41L1
Q99459	CDC5L
P39656	DDOST
A6NCV1	OR6C74
Q8N883	ZNF614
A2RU67	FAM234B
Q6QNY0	BLOC1S3
Q6QEF8	CORO6
Q6ZS82	RGS9BP
Q2TAZ0	ATG2A
Q6N022	TENM4
Q6N021	TET2
O15394	NCAM2
Q9UF12	PRODH2
Q9UF11	PLEKHB1
P43351	RAD52
P40938	RFC3
B2RXF5	ZBTB42
P36915	GNL1
P40933	IL15
Q6ZNG0	ZNF620
Q6ZNG1	ZNF600
P40937	RFC5
Q9NY72	SCN3B
Q6U7Q0	ZNF322
Q02040	AKAP17A
O15393	TMPRSS2
Q9NY74	ETAA1
Q9BWF3	RBM4
Q9BWF2	TRAIP
Q5BN46	C9orf116
O15392	BIRC5
Q14954	KIR2DS1
P31943	HNRNPH1
P31942	HNRNPH3
P31941	APOBEC3A
A6ND91	ASPDH
P31947	SFN
P31946	YWHAB
Q9UHK0	NUFIP1
P31944	CASP14
Q8N1F8	STK11IP
Q14952	KIR2DS3
P31949	S100A11
P31948	STIP1
Q8NH73	OR4S2
P61601	NCALD
P60604	UBE2G2
Q9Y219	JAG2
P60602	ROMO1
P61604	HSPE1
Q96MF7	NSMCE2
Q96MF6	COQ10A
Q58EX7	PLEKHG4
Q96MF2	STAC3
Q8NG84	OR2AK2
Q8NG85	OR2L3
Q6JEL2	KLHL10
Q14916	SLC17A1
Q8NH37	OR4C3
Q14914	PTGR1
Q8NG83	OR2M3
Q14919	DRAP1
O75954	TSPAN9
P60953	CDC42
Q9BQ49	SMIM7
Q9BQ48	MRPL34
Q12774	ARHGEF5
Q9NYZ4	SIGLEC8
P19532	TFE3
Q9NYZ1	TVP23B
Q9NYZ3	GTSE1
Q9NYZ2	SLC25A37
Q58EX2	SDK2
Q12778	FOXO1
Q16644	MAPKAPK3
Q16647	PTGIS
Q5FWF7	FBXO48
Q5FWF6	ZNF789
Q5FWF5	ESCO1
Q16643	DBN1
Q9Y216	MTMR7
Q16649	NFIL3
Q9UPQ0	LIMCH1
Q96HT8	MRFAP1L1
Q9UPQ3	AGAP1
Q9UPQ4	TRIM35
Q9UPQ7	PDZRN3
Q9UPQ8	DOLK
Q9UPQ9	TNRC6B
Q9Y215	COLQ
Q96M11	HYLS1
P09936	UCHL1
Q9Y520	PRRC2C
Q5JUQ0	FAM78A
P47224	RABIF
Q9BS26	ERP44
Q04771	ACVR1
Q9NS91	RAD18
Q9H0C1	ZMYND12
Q9BPX3	NCAPG
Q9H0C2	SLC25A31
Q5TCZ1	SH3PXD2A
Q9BPX7	C7orf25
Q9NS98	SEMA3G
Q9BPX5	ARPC5L
Q9NXB9	ELOVL2
P80192	MAP3K9
Q5TEJ8	THEMIS2
Q9NQZ8	ZNF71
Q9H6T0	ESRP2
Q9C086	INO80B
Q9NXB0	MKS1
O75829	LECT1
Q9NQZ7	ENTPD7
Q9NQZ6	ZC4H2
Q9NQZ3	DAZ1
Q9BZL1	UBL5
Q2M1V0	ISX
Q8IYE1	CCDC13
Q9UQK1	PPP1R3C
Q3MIW9	DPCR1
Q16602	CALCRL
Q6UXY8	TMC5
P0C7P0	CISD3
Q96D09	GPRASP2
Q7Z3D6	C14orf159
P13584	CYP4B1
Q96D03	DDIT4L
A4D126	ISPD
Q96D05	C10orf35
Q8NAC3	IL17RC
Q9Y6U3	SCIN
O96024	B3GALT4
P0CI00	ZNF705B
Q9BZW5	TM6SF1
Q8IWL3	HSCB
Q9BZW7	TSGA10
Q9BZW8	CD244
Q8IWL2	SFTPA1
P51617	IRAK1
Q8N0Y5	OR8I2
Q9H6E5	TUT1
Q8N5J2	FAM63A
Q8N5J4	SPIC
Q2Y0W8	SLC4A8
O75822	EIF3J
Q3SXZ3	ZNF718
P11229	CHRM1
P14618	PKM
Q08AE8	SPIRE1
Q96IZ5	RBM41
Q9NSY0	NRBP2
Q96IZ7	RSRC1
Q96IZ6	METTL2A
Q15208	STK38
Q96IZ2	ADTRP
Q06124	PTPN11
Q5TBC7	BCL2L15
Q6P5X5	C22orf39
P15374	UCHL3
Q7Z442	PKD1L2
Q7Z443	PKD1L3
Q13698	CACNA1S
P13765	HLA-DOB
Q5VYP0	SPATA31A3
Q7Z449	CYP2U1
P13761	HLA-DRB1
P13760	HLA-DRB1
P78368	CSNK1G2
Q07654	TFF3
O76041	NEBL
Q9H6X2	ANTXR1
Q6Y1H2	HACD2
Q9NRX4	PHPT1
Q9NRX5	SERINC1
P78362	SRPK2
P78363	ABCA4
P78364	PHC1
Q9NRX1	PNO1
Q9NRX2	MRPL17
Q9NRX3	NDUFA4L2
Q5SRD1	TIMM23B
P27918	CFP
Q5JTY5	CBWD3
P05129	PRKCG
Q9UN71	PCDHGB4
P05120	SERPINB2
P05121	SERPINE1
O00469	PLOD2
O95185	UNC5C
Q9UL52	TMPRSS11E
O95180	CACNA1H
O95182	NDUFA7
O95183	VAMP5
O00461	GOLIM4
Q9UL59	ZNF214
O00463	TRAF5
O00462	MANBA
P55916	UCP3
P01721	IGLV6-57
P27469	G0S2
Q7Z4I7	LIMS2
Q7Z408	CSMD2
P45880	VDAC2
Q9BRR0	ZKSCAN3
P03989	HLA-B
P59022	DSCR10
P59020	DSCR9
Q9BRR8	GPATCH1
Q9BRR9	ARHGAP9
Q6ZMK1	CYHR1
Q6W4X9	MUC6
Q5T9S5	CCDC18
Q495C1	RNF212
P08603	CFH
Q8N201	INTS1
Q8N205	SYNE4
Q96SL4	GPX7
Q96SL8	FIZ1
P83369	LSM11
P01588	EPO
P01589	IL2RA
Q9UKJ8	ADAM21
Q6ZU80	CEP128
O95989	NUDT3
P06733	ENO1
Q4V339	CBWD6
O95985	TOP3B
Q9UKJ0	PILRB
P01583	IL1A
P01584	IL1B
P55082	MFAP3
Q9UKJ5	CHIC2
P43308	SSR2
P06731	CEACAM5
Q9HBA0	TRPV4
Q8NGI2	OR52N4
O15342	ATP6V0E1
P35398	RORA
Q9H1C3	GLT8D2
Q9H1C4	UNC93B1
O15347	HMGB3
O15344	MID1
Q86T75	NBPF11
Q8N9N2	ASCC1
Q8N9N5	BANP
Q99848	EBNA1BP2
Q8N9N8	EIF1AD
Q99661	KIF2C
Q99666	RGPD6
Q99665	IL12RB2
Q7Z5P4	HSD17B13
P18054	ALOX12
P62736	ACTA2
Q9UH62	ARMCX3
Q9UH65	SWAP70
P15531	NME1
A8MWS1	KIR3DP1
Q96P71	NECAB3
Q96P70	IPO9
P15538	CYP11B1
Q7Z5U6	WDR53
Q86VI4	LAPTM4B
Q14344	GNA13
Q86VI3	IQGAP3
Q86VI1	EXOC3L1
Q6VVB1	NHLRC1
P0DPB6	P0DPB6
P21549	AGXT
O75969	AKAP3
Q6ZMN8	CCNI2
P0DPB3	P0DPB3
O75964	ATP5L
Q9BTD3	TMEM121
Q9H161	ALX4
Q9H160	ING2
P68400	CSNK2A1
P00450	CP
P68402	PAFAH1B2
Q8TDS5	OXER1
Q15836	VAMP3
P22083	FUT4
Q15834	CCDC85B
Q15835	GRK1
Q15833	STXBP2
Q15831	STK11
Q5W0Q7	USPL1
Q99593	TBX5
Q96RE9	ZNF300
Q8N3A8	PARP8
O43837	IDH3B
P53611	RABGGTB
A2RUT3	TMEM89
Q9H305	CDIP1
Q9UET6	FTSJ1
P53618	COPB1
Q8NGN4	OR10G9
Q14123	PDE1C
Q8IU68	TMC8
Q14126	DSG2
P10114	RAP2A
Q14129	DGCR6
P04745	AMY1A
P04746	AMY2A
Q9UFB7	ZBTB47
A1L190	SYCE3
A1L443	NUTM2F
Q8TEX9	IPO4
Q6ZSJ9	SHISA6
Q6IE81	JADE1
Q8N4M1	SLC44A3
Q8WVL7	ANKRD49
P50502	ST13
Q9Y3S2	ZNF330
O43708	GSTZ1
P49326	FMO5
P49327	FASN
P49321	NASP
O14924	RGS12
Q9UGV2	NDRG3
P07602	PSAP
Q16877	PFKFB4
Q16875	PFKFB3
Q8NFH8	REPS2
O75340	PDCD6
Q5VTB9	RNF220
O75342	ALOX12B
O75343	GUCY1B2
O75344	FKBP6
O75346	ZNF253
O75347	TBCA
O75348	ATP6V1G1
P23760	PAX3
Q05655	PRKCD
P25685	DNAJB1
P25686	DNAJB2
Q13153	PAK1
Q8IVK1	GLYCAM1
P42166	TMPO
W5XKT8	SPACA6
P30954	OR10J1
P30953	OR1E1
Q9BQW3	EBF4
Q8N5W9	FAM101B
Q0VAA2	LRRC74A
Q9UDR5	AASS
O00287	RFXAP
P20839	IMPDH1
P54821	PRRX1
Q6UXU4	GSG1L
A8MPX8	PP2D1
P82909	MRPS36
Q96DB5	RMDN1
Q9ULZ2	STAP1
Q13155	AIMP2
Q96DB2	HDAC11
Q13360	ZNF177
Q13361	MFAP5
Q13362	PPP2R5C
Q13363	CTBP1
Q86YS7	C2CD5
Q86YS6	RAB43
Q9Y5Q3	MAFB
Q8IXS8	FAM126B
Q13368	MPP3
Q8IXS6	PALM2
Q9NYK1	TLR7
Q9Y5Q9	GTF3C3
Q9Y5Q8	GTF3C5
P23560	BDNF
Q8IXS0	FAM217A
P11532	DMD
Q0ZGT2	NEXN
Q9BSQ5	CCM2
Q96KK3	KCNS1
Q96KK4	OR10C1
Q96KK5	HIST1H2AH
Q6PEY2	TUBA3E
Q16254	E2F4
Q8NGR5	OR1L4
Q96FX2	DPH3
Q86WQ0	NR2C2AP
Q8WXQ3	LINC01599
P11086	PNMT
O95613	PCNT
Q96FX8	PERP
Q9ULH1	ASAP1
Q9ULH0	KIDINS220
Q9ULH7	MKL2
O95619	YEATS4
Q9ULH4	LRFN2
Q8IWK6	ADGRA3
O15503	INSIG1
O15504	NUPL2
P48050	KCNJ4
P48052	CPA2
Q9H6B4	CLMP
P46721	SLCO1A2
Q6ZMR5	TMPRSS11A
P48059	LIMS1
P48058	GRIA4
P03372	ESR1
Q9NU63	ZFP57
Q9HCF6	TRPM3
Q9UN67	PCDHB10
Q9UN66	PCDHB8
Q969W1	ZDHHC16
Q96EL3	MRPL53
Q96EL2	MRPS24
Q6PG37	ZNF790
O60682	MSC
P55769	SNU13
Q8IZK6	MCOLN2
Q13751	LAMB3
Q96NX9	DACH2
Q13753	LAMC2
Q8WXJ9	ASB17
Q96NX5	CAMK1G
Q5T4B2	CERCAM
P51449	RORC
Q9HA82	CERS4
Q9BUK6	MSTO1
Q6B0B8	TIGD3
Q9NW08	POLR3B
Q9NUA8	ZBTB40
Q8N7E2	ZNF645
O43283	MAP3K13
Q09FC8	ZNF415
Q9NW07	ZNF358
Q9UJT9	FBXL7
Q96GZ6	SLC41A3
P31629	HIVEP2
Q96H96	COQ2
P31150	GDI1
P31151	S100A7
P83881	RPL36A
P31153	MAT2A
P48443	RXRG
Q86V42	FAM124A
Q8NHC7	OR14C36
Q19AV6	ZSWIM7
Q8NHC5	OR14A16
Q86V48	LUZP1
Q8NHC8	OR2T6
P48449	LSS
Q03721	KCNC4
Q96H40	ZNF486
Q9Y2D5	AKAP2
Q9Y2D4	EXOC6B
Q9Y2D1	ATF5
Q9Y2D0	CA5B
Q9H6P5	TASP1
Q9Y2D2	SLC35A3
Q11201	ST3GAL1
Q9BZS1	FOXP3
Q11203	ST3GAL3
Q6XD76	ASCL4
Q9Y2D8	SSX2IP
Q11206	ST3GAL4
Q5JVL4	EFHC1
Q5UCC4	EMC10
Q8N8I6	LINC00482
P16930	FAH
Q9Y6Q1	CAPN6
Q01831	XPC
Q9BUA6	MYL10
A0AVK6	E2F8
Q7L099	RUFY3
P62942	FKBP1A
Q92841	DDX17
P62945	RPL41
Q9BT67	NDFIP1
Q9BVK6	TMED9
Q92994	BRF1
P56589	PEX3
Q92997	DVL3
Q92990	GLMN
Q92993	KAT5
