"chid","chnm","casn","code","dsstox_substance_id","clib"
21756,"3-Methyl-1-pentyn-3-ol","77-75-8","C77758","DTXSID5021756","TOX21SL"
21757,"1-Ethynylcyclohexanol","78-27-3","C78273","DTXSID0021757","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21758,"Tris(2-butoxyethyl) phosphate","78-51-3","C78513","DTXSID5021758","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21759,"2-Methyl-1-propanol","78-83-1","C78831","DTXSID0021759","TOX21SL|TOXCAST|TOXCAST_ph3|TOXCAST_PhaseIII"
21761,"1,2-Diaminopropane","78-90-0","C78900","DTXSID4021761","TOX21SL|TOXCAST"
21762,"2-Butanol","78-92-2","C78922","DTXSID9021762","TOX21SL"
21764,"1-Amino-2-propanol","78-96-6","C78966","DTXSID9021764","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21767,"Methyl acetate","79-20-9","C79209","DTXSID4021767","TOX21SL"
21769,"beta-Ionone","79-77-6","C79776","DTXSID4021769","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21770,"2,2',6,6'-Tetrachlorobisphenol A","79-95-8","C79958","DTXSID3021770","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21771,"4-(2-Methylbutan-2-yl)phenol","80-46-6","C80466","DTXSID8021771","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21772,"1,8-Diamino-p-menthane","80-52-4","C80524","DTXSID3021772","TOX21SL"
21774,"Acenaphthene","83-32-9","C83329","DTXSID3021774","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21775,"3-Methylindole","83-34-1","C83341","DTXSID8021775","TOX21SL|TOXCAST|TOXCAST_ph3|TOXCAST_PhaseIII"
21777,"Riboflavin","83-88-5","C83885","DTXSID8021777","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21778,"Diphenyl phthalate","84-62-8","C84628","DTXSID3021778","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21780,"Diethyl phthalate","84-66-2","C84662","DTXSID7021780","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21781,"Dibutyl phthalate","84-74-2","C84742","DTXSID2021781","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph1v2|TOXCAST_PhaseI|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21782,"2,3,4,5,6-Pentabromoethylbenzene","85-22-3","C85223","DTXSID7021782","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21784,"Salicylanilide","87-17-2","C87172","DTXSID7021784","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21788,"3-Trifluoromethyl-4-nitrophenol","88-30-2","C88302","DTXSID7021788","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21789,"2-Aminobenzamide","88-68-6","C88686","DTXSID2021789","TOX21SL"
21790,"2-Nitrophenol","88-75-5","C88755","DTXSID1021790","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21792,"Salicylaldehyde","90-02-8","C90028","DTXSID1021792","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21793,"1-Naphthol","90-15-3","C90153","DTXSID6021793","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21795,"Xanthone","90-47-1","C90471","DTXSID6021795","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21798,"Quinoline","91-22-5","C91225","DTXSID1021798","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21799,"N,N-Diethylcyclohexylamine","91-65-6","C91656","DTXSID6021799","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21800,"N,N-Diethylaniline","91-66-7","C91667","DTXSID8021800","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21801,"2-(N-Ethyl-m-toluidino)ethanol","91-88-3","C91883","DTXSID3021801","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21802,"Dicyclohexyl","92-51-3","C92513","DTXSID8021802","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21803,"1-Benzoylacetone","93-91-4","C93914","DTXSID3021803","TOX21SL"
21804,"Benzocaine","94-09-7","C94097","DTXSID8021804","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21805,"Piperine","94-62-2","C94622","DTXSID3021805","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21807,"o-Xylene","95-47-6","C95476","DTXSID3021807","TOX21SL|TOXCAST|TOXCAST_ph3|TOXCAST_PhaseIII"
21808,"o-Cresol","95-48-7","C95487","DTXSID8021808","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21810,"2-Chloroaniline","95-51-2","C95512","DTXSID2021810","TOX21SL"
21815,"3,4-Dichloroaniline","95-76-1","C95761","DTXSID7021815","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21816,"Allyl methacrylate","96-05-9","C96059","DTXSID2021816","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21817,"2,3-Dibromopropanol","96-13-9","C96139","DTXSID7021817","TOX21SL"
21818,"2-Methylbutanal","96-17-3","C96173","DTXSID2021818","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21820,"3-Pentanone","96-22-0","C96220","DTXSID6021820","TOX21SL"
21821,"2-Butanone oxime","96-29-7","C96297","DTXSID1021821","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21822,"2-(Diisopropylamino)ethanol","96-80-0","C96800","DTXSID6021822","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21823,"2,4-Dinitroaniline","97-02-9","C97029","DTXSID1021823","TOX21SL"
21824,"Dichlorophen","97-23-4","C97234","DTXSID6021824","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21827,"Cumene","98-82-8","C98828","DTXSID1021827","TOX21SL"
21828,"Acetophenone","98-86-2","C98862","DTXSID6021828","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21831,"3-Nitrotoluene","99-08-1","C99081","DTXSID5021831","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21832,"N,N,4-Trimethylaniline","99-97-8","C99978","DTXSID0021832","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21834,"4-Nitrophenol","100-02-7","C100027","DTXSID0021834","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21835,"4-Dimethylaminobenzaldehyde","100-10-7","C100107","DTXSID5021835","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21836,"1,4-Dinitrobenzene","100-25-4","C100254","DTXSID0021836","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21837,"N,N-Diethylethanolamine","100-37-8","C100378","DTXSID5021837","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21839,"Benzylamine","100-46-9","C100469","DTXSID5021839","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21841,"N-Methylaniline","100-61-8","C100618","DTXSID9021841","TOX21SL"
21842,"Cyclohexanone oxime","100-64-1","C100641","DTXSID4021842","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21843,"2-Pyridinecarbonitrile","100-70-9","C100709","DTXSID9021843","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21847,"Diphenyl oxide","101-84-8","C101848","DTXSID9021847","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21848,"N-Ethyl-3-methylaniline","102-27-2","C102272","DTXSID4021848","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21851,"2-Methyl-4-phenylbutan-2-ol","103-05-9","C103059","DTXSID3021851","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21853,"1-Piperazineethanol","103-76-4","C103764","DTXSID3021853","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21854,"N,N-Dimethylbenzylamine","103-83-3","C103833","DTXSID8021854","TOX21SL"
21856,"4-Butylaniline","104-13-2","C104132","DTXSID8021856","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21860,"4-Chlorobenzaldehyde","104-88-1","C104881","DTXSID2021860","TOX21SL"
21861,"5-Ethyl-2-methylpyridine","104-90-5","C104905","DTXSID7021861","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21863,"Diethyl propanedioate","105-53-3","C105533","DTXSID7021863","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21864,"2,4-Dimethylphenol","105-67-9","C105679","DTXSID2021864","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21866,"Dibutyl adipate","105-99-7","C105997","DTXSID2021866","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21867,"4-Bromoaniline","106-40-1","C106401","DTXSID7021867","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21868,"p-Xylene","106-42-3","C106423","DTXSID2021868","TOX21SL"
21869,"p-Cresol","106-44-5","C106445","DTXSID7021869","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21871,"4-Chlorophenol","106-48-9","C106489","DTXSID1021871","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21872,"4-Methylaniline","106-49-0","C106490","DTXSID6021872","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21873,"Isobutyl acrylate","106-63-8","C106638","DTXSID1021873","TOX21SL"
21874,"1-Bromopropane","106-94-5","C106945","DTXSID6021874","TOX21SL"
21877,"2-Chloroethanol","107-07-3","C107073","DTXSID1021877","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21879,"Propionitrile","107-12-0","C107120","DTXSID1021879","TOX21SL"
21881,"Ethylenediamine","107-15-3","C107153","DTXSID5021881","TOX21SL|TOXCAST"
21883,"Propargyl alcohol","107-19-7","C107197","DTXSID5021883","TOX21SL|TOXCAST"
21885,"2-Methyl-2,4-pentanediol","107-41-5","C107415","DTXSID5021885","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21886,"2,4,4-Trimethyl-2-pentanamine","107-45-9","C107459","DTXSID0021886","TOX21SL"
21888,"2-Pentanone","107-87-9","C107879","DTXSID0021888","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21889,"4-Methyl-2-pentanone","108-10-1","C108101","DTXSID5021889","TOX21SL|TOXCAST"
21890,"Isopropyl ether","108-20-3","C108203","DTXSID4021890","TOX21SL"
21892,"4-Methylpyridine","108-89-4","C108894","DTXSID4021892","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21894,"Cyclohexanol","108-93-0","C108930","DTXSID4021894","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21897,"3-Methylpyridine","108-99-6","C108996","DTXSID9021897","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21899,"2-Methylpyridine","109-06-8","C109068","DTXSID9021899","TOX21SL|TOXCAST"
21901,"Propyl acetate","109-60-4","C109604","DTXSID6021901","TOX21SL|TOXCAST"
21902,"1,3-Dibromopropane","109-64-8","C109648","DTXSID1021902","TOX21SL"
21904,"Butylamine","109-73-9","C109739","DTXSID1021904","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21907,"Propanedinitrile","109-77-3","C109773","DTXSID6021907","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21909,"Diethylamine","109-89-7","C109897","DTXSID6021909","TOX21SL"
21910,"Pyrrole","109-97-7","C109977","DTXSID5021910","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21914,"5-Methyl-2-hexanone","110-12-3","C110123","DTXSID5021914","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21915,"Diethyl decanedioate","110-40-7","C110407","DTXSID0021915","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21916,"2-Heptanone","110-43-0","C110430","DTXSID5021916","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21917,"n-Hexane","110-54-3","C110543","DTXSID0021917","TOX21SL"
21921,"2-Butyne-1,4-diol","110-65-6","C110656","DTXSID4021921","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21922,"2-(Ethylamino)ethanol","110-73-6","C110736","DTXSID9021922","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21923,"Cyclohexane","110-82-7","C110827","DTXSID4021923","TOX21SL|TOXCAST"
21924,"Pyridine","110-86-1","C110861","DTXSID9021924","TOX21SL"
21925,"1,3,5-Trioxane","110-88-3","C110883","DTXSID4021925","TOX21SL|TOXCAST"
21928,"Ethylene glycol monoethyl ether acetate","111-15-9","C111159","DTXSID9021928","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21929,"1-Bromohexane","111-25-1","C111251","DTXSID4021929","TOX21SL"
21930,"Hexylamine","111-26-2","C111262","DTXSID3021930","TOX21SL"
21931,"1-Hexanol","111-27-3","C111273","DTXSID8021931","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21932,"Diethanolamine","111-42-2","C111422","DTXSID3021932","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21936,"Hexanedinitrile","111-69-3","C111693","DTXSID3021936","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21937,"1-Heptanol","111-70-6","C111706","DTXSID8021937","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21938,"1-Bromooctane","111-83-1","C111831","DTXSID3021938","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21939,"1-Octanamine","111-86-4","C111864","DTXSID8021939","TOX21SL"
21940,"1-Octanol","111-87-5","C111875","DTXSID7021940","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21941,"2-(2-Ethoxyethoxy)ethanol","111-90-0","C111900","DTXSID2021941","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21943,"2-Undecanone","112-12-9","C112129","DTXSID2021943","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21946,"1-Decanol","112-30-1","C112301","DTXSID7021946","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21947,"1-Tridecanol","112-70-9","C112709","DTXSID2021947","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21948,"Propoxur","114-26-1","C114261","DTXSID7021948","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph1v2|TOXCAST_PhaseI|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21949,"2-Methyl-3-butyn-2-ol","115-19-5","C115195","DTXSID2021949","TOX21SL"
21952,"Triphenyl phosphate","115-86-6","C115866","DTXSID1021952","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21953,"Fensulfothion","115-90-2","C115902","DTXSID6021953","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21956,"Di-n-octyl phthalate","117-84-0","C117840","DTXSID1021956","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21957,"Phenyl salicylate","118-55-8","C118558","DTXSID6021957","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21958,"Ethyl salicylate","118-61-6","C118616","DTXSID1021958","TOX21SL"
21959,"2,4,6-Tribromophenol","118-79-6","C118796","DTXSID6021959","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21961,"Benzophenone","119-61-9","C119619","DTXSID0021961","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21962,"N-Phenyldiethanolamine","120-07-0","C120070","DTXSID5021962","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21963,"4-(Diethylamino)benzaldehyde","120-21-8","C120218","DTXSID0021963","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21965,"1,2,4-Trichlorobenzene","120-82-1","C120821","DTXSID0021965","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21968,"3-Ethoxy-4-hydroxybenzaldehyde","121-32-4","C121324","DTXSID5021968","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21969,"4-Hydroxy-3-methoxybenzaldehyde","121-33-5","C121335","DTXSID0021969","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21971,"1-Chloro-3-nitrobenzene","121-73-3","C121733","DTXSID4021971","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21973,"2-Chloro-4-nitroaniline","121-87-9","C121879","DTXSID4021973","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21974,"4-Isopropylbenzaldehyde","122-03-2","C122032","DTXSID9021974","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21975,"Diphenylamine","122-39-4","C122394","DTXSID4021975","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph1v2|TOXCAST_PhaseI|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21976,"2-Phenoxyethanol","122-99-6","C122996","DTXSID9021976","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph1v2|TOXCAST_PhaseI|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21977,"4-Ethylphenol","123-07-9","C123079","DTXSID4021977","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21978,"2-Methylpentanal","123-15-9","C123159","DTXSID9021978","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
21979,"2,4-Pentanedione","123-54-6","C123546","DTXSID4021979","TOX21SL"
21980,"Ethyl hexanoate","123-66-0","C123660","DTXSID3021980","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21982,"Butyl acetate","123-86-4","C123864","DTXSID3021982","TOX21SL|TOXCAST"
21984,"1-Dodecanamine","124-22-1","C124221","DTXSID3021984","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII"
21986,"Tributyl phosphate","126-73-8","C126738","DTXSID3021986","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21988,"1-Chloro-2-propanol, technical grade (~75% 1-chloro-2-propanol; ~25% 2-chloro-1-propanol)","NOCAS_21988","CNOCAS21988","DTXSID3021988","TOX21SL|TOXCAST"
21992,"Sodium saccharin hydrate","82385-42-0","C82385420","DTXSID7021992","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21993,"Dibenzofuran","132-64-9","C132649","DTXSID2021993","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21994,"Phenyl 4-aminosalicylate","133-11-9","C133119","DTXSID7021994","TOX21SL"
21995,"DEET","134-62-3","C134623","DTXSID2021995","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph1v2|TOXCAST_PhaseI|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21996,"Sodium propionate","137-40-6","C137406","DTXSID7021996","TOX21SL|TOXCAST|TOXCAST_ph3|TOXCAST_PhaseIII"
21997,"1-(2-Aminoethyl)piperazine","140-31-8","C140318","DTXSID2021997","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
21998,"Dibutyl butanedioate","141-03-7","C141037","DTXSID7021998","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
22000,"Ethanolamine","141-43-5","C141435","DTXSID6022000","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph2|TOXCAST_PhaseII|TOXCAST_PhaseIII"
22001,"Ethyl acetate","141-78-6","C141786","DTXSID1022001","TOX21SL|TOXCAST"
22002,"2,6-Dimethyl morpholine","141-91-3","C141913","DTXSID6022002","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
22003,"1,3-Diethylbenzene","141-93-5","C141935","DTXSID1022003","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
22004,"1,3-Dichloropropane","142-28-9","C142289","DTXSID6022004","TOX21SL|TOXCAST"
22006,"Hexyl acetate","142-92-7","C142927","DTXSID6022006","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
22007,"Butyl ether","142-96-1","C142961","DTXSID1022007","TOX21SL"
22008,"1-Nonanol","143-08-8","C143088","DTXSID6022008","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
22009,"Dihexylamine","143-16-8","C143168","DTXSID1022009","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
22010,"cis-Oleyl alcohol","143-28-2","C143282","DTXSID0022010","TOX21SL|TOXCAST|TOXCAST_ph3|TOXCAST_PhaseIII"
22012,"3-Methoxyphenol","150-19-6","C150196","DTXSID0022012","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
22014,"Hydroquinone dimethyl ether","150-78-7","C150787","DTXSID0022014","TOX21SL|TOXCAST|TOXCAST_e1k|TOXCAST_EPATox21|TOXCAST_PhaseII|TOXCAST_PhaseIII"
22016,"1,4-Diazabicyclo[2.2.2]octane","280-57-9","C280579","DTXSID0022016","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
22018,"Disulfoton","298-04-4","C298044","DTXSID0022018","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph1v2|TOXCAST_PhaseI|TOXCAST_PhaseII|TOXCAST_PhaseIII"
22020,"Bromacil","314-40-9","C314409","DTXSID4022020","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph1v2|TOXCAST_PhaseI|TOXCAST_PhaseII|TOXCAST_PhaseIII"
22027,"4-Fluoroaniline","371-40-4","C371404","DTXSID9022027","TOX21SL"
22035,"[(1S)-endo]-(-)-Borneol","464-45-9","C464459","DTXSID3022035","TOX21SL|TOXCAST|TOXCAST_EPATox21|TOXCAST_ph3|TOXCAST_PhaseIII"
